cell_model_index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score_mean,count_z_score_standard_deviation
48,*,175.45.176.0,*,*,*,*,*,1244.7222222222222,3515.3108888207494
49,*,175.45.176.1,*,*,*,*,*,2766.5,4593.753902492674
50,*,192.168.241.50,*,*,*,*,*,6.888888888888889,0.936238863686262
51,*,224.0.0.5,*,*,*,*,*,41.111111111111114,4.228066131208989
52,*,149.171.126.13,*,*,*,*,*,120.22222222222223,179.6649831570958
53,*,*,0,*,*,*,*,140.88888888888889,13.735149106859174
54,*,*,1033,*,*,*,*,1.4444444444444444,0.8314794192830981
55,*,*,10346,*,*,*,*,1.0,1.0540925533894598
56,*,*,1035,*,*,*,*,1.1666666666666667,0.9574271077563381
57,*,*,1043,*,*,*,*,3376.3333333333335,2970.58129365655
58,*,*,1051,*,*,*,*,1.3888888888888888,0.8906233078822999
59,*,*,1074,*,*,*,*,1.3333333333333333,1.0540925533894598
60,*,*,1114,*,*,*,*,1.3888888888888888,0.8906233078822999
61,*,*,1341,*,*,*,*,1.7777777777777777,1.2717247935843996
62,*,*,138,*,*,*,*,100.0,28.284271247461902
63,*,*,1424,*,*,*,*,1.2222222222222223,0.9749960430435691
64,*,*,1453,*,*,*,*,1.4444444444444444,0.8314794192830981
65,*,*,1525,*,*,*,*,1.4444444444444444,1.34256066373273
66,*,*,1542,*,*,*,*,1.1666666666666667,0.8333333333333334
67,*,*,1556,*,*,*,*,1.2222222222222223,1.0304020550550783
68,*,*,1889,*,*,*,*,1.7777777777777777,1.8425693279752222
69,*,*,1921,*,*,*,*,1.2777777777777777,1.0437941237808852
70,*,*,1931,*,*,*,*,1.4444444444444444,1.2120791238484128
71,*,*,1944,*,*,*,*,1.3888888888888888,0.950957931590205
72,*,*,1953,*,*,*,*,1.3888888888888888,0.7556372504853025
73,*,*,1957,*,*,*,*,1.3333333333333333,1.1547005383792515
74,*,*,1975,*,*,*,*,1.3888888888888888,0.950957931590205
75,*,*,2015,*,*,*,*,1.2777777777777777,1.0437941237808852
76,*,*,2047,*,*,*,*,1.3333333333333333,0.9428090415820634
77,*,*,2048,*,*,*,*,9.88888888888889,1.3286956381223776
78,*,*,47439,*,*,*,*,3115.3333333333335,2750.1436326126677
79,*,*,5060,*,*,*,*,14.777777777777779,21.938184761216778
80,*,*,1025,*,*,*,*,1.8333333333333333,2.9297326385411573
81,*,*,1664,*,*,*,*,1.1666666666666667,1.0671873729054748
82,*,*,1946,*,*,*,*,1.3333333333333333,1.2018504251546631
83,*,*,2036,*,*,*,*,1.1666666666666667,1.0671873729054748
84,*,*,40610,*,*,*,*,1.1111111111111112,0.9938079899999066
85,*,*,1301,*,*,*,*,1.6111111111111112,1.253390463630942
86,*,*,*,0,*,*,*,142.16666666666666,14.205828224906691
87,*,*,*,111,*,*,*,1159.4444444444443,89.23329113572794
88,*,*,*,138,*,*,*,100.0,28.284271247461902
89,*,*,*,143,*,*,*,656.6111111111111,54.80180338566412
90,*,*,*,1723,*,*,*,45.0,83.40596834493054
91,*,*,*,179,*,*,*,367.77777777777777,244.07297532490279
92,*,*,*,21,*,*,*,633.1666666666666,78.7282597857268
93,*,*,*,22,*,*,*,642.5,234.1870690993278
94,*,*,*,25,*,*,*,1119.9444444444443,97.34330555206387
95,*,*,*,445,*,*,*,26.77777777777778,33.533657313802
96,*,*,*,48879,*,*,*,2.5,1.4240006242195884
97,*,*,*,514,*,*,*,41.5,20.645822822062577
98,*,*,*,5190,*,*,*,1580.888888888889,378.50214866392747
99,*,*,*,520,*,*,*,138.72222222222223,168.61949457467037
100,*,*,*,52233,*,*,*,6.833333333333333,0.6871842709362768
101,*,*,*,53,*,*,*,11689.777777777777,5740.341371532567
102,*,*,*,6881,*,*,*,1895.0555555555557,1232.8355514477917
103,*,*,*,80,*,*,*,2839.1666666666665,269.978651419371
104,*,*,*,*,dns,*,*,11689.722222222223,5740.31073302904
105,*,*,*,*,ftp,*,*,633.0,78.80355321938218
106,*,*,*,*,http,*,*,2820.6111111111113,274.5740416007814
107,*,*,*,*,smtp,*,*,1119.7777777777778,97.27655624589991
108,*,*,*,*,ssh,*,*,641.7777777777778,234.21062589889175
109,*,*,*,*,unknown,*,*,17417.944444444445,1230.3872684024789
110,*,*,*,*,*,arp,*,98.27777777777777,9.671295188199146
111,*,*,*,*,*,icmp,*,10.5,1.8027756377319946
112,*,*,*,*,*,ospf,*,41.111111111111114,4.228066131208989
113,*,*,*,*,*,tcp,*,19875.38888888889,1367.985913625043
114,*,*,*,*,*,udp,*,14296.333333333334,5679.986717511856
115,*,*,*,*,*,*,CON,7683.277777777777,527.3495367880939
116,*,*,*,*,*,*,ECO,8.722222222222221,1.4834477692020767
117,*,*,*,*,*,*,FIN,19682.38888888889,1303.686573566962
118,*,*,*,*,*,*,INT,6823.333333333333,5616.83728722055
119,*,*,*,*,*,*,REQ,111.0,125.63306358863763
120,10.40.170.2,10.40.170.2,*,*,*,*,*,19.333333333333332,2.1343747458109497
121,10.40.182.1,10.40.182.3,*,*,*,*,*,15.61111111111111,1.8600743380870228
122,10.40.182.1,224.0.0.5,*,*,*,*,*,20.555555555555557,2.1140330656044943
123,10.40.182.3,10.40.182.3,*,*,*,*,*,19.333333333333332,2.1343747458109497
124,10.40.182.6,10.40.182.255,*,*,*,*,*,100.0,28.284271247461902
125,10.40.85.1,10.40.85.30,*,*,*,*,*,16.11111111111111,1.594744454934147
126,10.40.85.1,224.0.0.5,*,*,*,*,*,20.555555555555557,2.1140330656044943
127,10.40.85.10,10.40.198.10,*,*,*,*,*,7.222222222222222,9.258962958222071
128,10.40.85.10,10.40.85.1,*,*,*,*,*,7.444444444444445,0.8314794192830981
129,10.40.85.10,192.168.241.50,*,*,*,*,*,6.888888888888889,0.936238863686262
130,10.40.85.30,10.40.85.1,*,*,*,*,*,19.72222222222222,1.7258027296676741
131,175.45.176.0,149.171.126.14,*,*,*,*,*,12.444444444444445,21.20854707743561
132,175.45.176.0,149.171.126.15,*,*,*,*,*,23.88888888888889,37.2169150445345
133,175.45.176.0,149.171.126.10,*,*,*,*,*,20.666666666666668,53.93720628862995
134,175.45.176.2,149.171.126.10,*,*,*,*,*,9.277777777777779,12.251102243179568
135,175.45.176.2,149.171.126.14,*,*,*,*,*,8.222222222222221,18.051025072633394
136,175.45.176.3,149.171.126.19,*,*,*,*,*,52.77777777777778,124.02488798425166
137,175.45.176.3,149.171.126.15,*,*,*,*,*,30.22222222222222,79.16688109132755
138,59.166.0.0,149.171.126.0,*,*,*,*,*,265.77777777777777,24.831779717745107
139,59.166.0.0,149.171.126.1,*,*,*,*,*,275.3333333333333,29.91655060330318
140,59.166.0.0,149.171.126.2,*,*,*,*,*,269.44444444444446,25.77945396849166
141,59.166.0.0,149.171.126.3,*,*,*,*,*,277.6111111111111,24.25819194711778
142,59.166.0.0,149.171.126.4,*,*,*,*,*,270.0,27.73886162848873
143,59.166.0.0,149.171.126.5,*,*,*,*,*,275.3333333333333,29.0879891211323
144,59.166.0.0,149.171.126.6,*,*,*,*,*,264.8888888888889,21.686885153343734
145,59.166.0.0,149.171.126.7,*,*,*,*,*,274.55555555555554,24.99160352825685
146,59.166.0.0,149.171.126.8,*,*,*,*,*,250.44444444444446,24.08139489828016
147,59.166.0.0,149.171.126.9,*,*,*,*,*,257.22222222222223,22.169938494265296
148,59.166.0.1,149.171.126.0,*,*,*,*,*,275.72222222222223,32.171080104058184
149,59.166.0.1,149.171.126.1,*,*,*,*,*,280.44444444444446,20.731677914143912
150,59.166.0.1,149.171.126.2,*,*,*,*,*,271.1666666666667,24.819906884953816
151,59.166.0.1,149.171.126.3,*,*,*,*,*,276.8333333333333,28.10150253001509
152,59.166.0.1,149.171.126.4,*,*,*,*,*,271.0,28.071337695236398
153,59.166.0.1,149.171.126.5,*,*,*,*,*,280.72222222222223,21.862717010054546
154,59.166.0.1,149.171.126.6,*,*,*,*,*,271.3333333333333,29.280255007997
155,59.166.0.1,149.171.126.7,*,*,*,*,*,266.1111111111111,26.292983620242133
156,59.166.0.1,149.171.126.8,*,*,*,*,*,262.3888888888889,25.153172737558023
157,59.166.0.1,149.171.126.9,*,*,*,*,*,261.77777777777777,29.8971487967137
158,59.166.0.2,149.171.126.0,*,*,*,*,*,273.44444444444446,24.556561065385857
159,59.166.0.2,149.171.126.1,*,*,*,*,*,283.55555555555554,23.970403561758825
160,59.166.0.2,149.171.126.2,*,*,*,*,*,269.05555555555554,33.324119096838054
161,59.166.0.2,149.171.126.3,*,*,*,*,*,283.3333333333333,20.986768318262925
162,59.166.0.2,149.171.126.4,*,*,*,*,*,274.55555555555554,23.49284104247321
163,59.166.0.2,149.171.126.5,*,*,*,*,*,271.77777777777777,29.16915333315041
164,59.166.0.2,149.171.126.6,*,*,*,*,*,257.6111111111111,17.198639768206764
165,59.166.0.2,149.171.126.7,*,*,*,*,*,256.27777777777777,18.153070005298936
166,59.166.0.2,149.171.126.8,*,*,*,*,*,260.44444444444446,25.495581800736076
167,59.166.0.2,149.171.126.9,*,*,*,*,*,266.22222222222223,27.619549347750755
168,59.166.0.3,149.171.126.0,*,*,*,*,*,264.3888888888889,27.75315575427392
169,59.166.0.3,149.171.126.1,*,*,*,*,*,282.6111111111111,28.40606134239054
170,59.166.0.3,149.171.126.2,*,*,*,*,*,279.3888888888889,24.969178531605916
171,59.166.0.3,149.171.126.3,*,*,*,*,*,268.0,18.2208671582886
172,59.166.0.3,149.171.126.4,*,*,*,*,*,268.72222222222223,25.381107487340866
173,59.166.0.3,149.171.126.5,*,*,*,*,*,276.44444444444446,32.05069287207762
174,59.166.0.3,149.171.126.6,*,*,*,*,*,264.5,27.87721092377946
175,59.166.0.3,149.171.126.7,*,*,*,*,*,263.27777777777777,28.53809453180385
176,59.166.0.3,149.171.126.8,*,*,*,*,*,263.5,32.49658101674356
177,59.166.0.3,149.171.126.9,*,*,*,*,*,258.8888888888889,32.050115078470625
178,59.166.0.4,149.171.126.0,*,*,*,*,*,286.8333333333333,27.719327392833886
179,59.166.0.4,149.171.126.1,*,*,*,*,*,286.0,39.375683415585875
180,59.166.0.4,149.171.126.2,*,*,*,*,*,279.0,28.057480682025286
181,59.166.0.4,149.171.126.3,*,*,*,*,*,275.1666666666667,16.863010143835858
182,59.166.0.4,149.171.126.4,*,*,*,*,*,279.8888888888889,37.97643843942201
183,59.166.0.4,149.171.126.5,*,*,*,*,*,275.22222222222223,22.601758917678055
184,59.166.0.4,149.171.126.6,*,*,*,*,*,266.5,17.62337462954622
185,59.166.0.4,149.171.126.7,*,*,*,*,*,267.55555555555554,29.181847900939722
186,59.166.0.4,149.171.126.8,*,*,*,*,*,259.72222222222223,29.966287642311123
187,59.166.0.4,149.171.126.9,*,*,*,*,*,262.55555555555554,23.814613212671244
188,59.166.0.5,149.171.126.0,*,*,*,*,*,273.0,34.988887124660344
189,59.166.0.5,149.171.126.1,*,*,*,*,*,278.8333333333333,27.901115071305345
190,59.166.0.5,149.171.126.2,*,*,*,*,*,274.8333333333333,29.67836847866735
191,59.166.0.5,149.171.126.3,*,*,*,*,*,273.94444444444446,29.195646978087947
192,59.166.0.5,149.171.126.4,*,*,*,*,*,274.44444444444446,40.1790744628514
193,59.166.0.5,149.171.126.5,*,*,*,*,*,276.55555555555554,26.04530715294711
194,59.166.0.5,149.171.126.6,*,*,*,*,*,276.55555555555554,36.3397887571403
195,59.166.0.5,149.171.126.7,*,*,*,*,*,259.27777777777777,23.0815114938235
196,59.166.0.5,149.171.126.8,*,*,*,*,*,256.0,33.46972097616325
197,59.166.0.5,149.171.126.9,*,*,*,*,*,269.44444444444446,26.87051713975793
198,59.166.0.6,149.171.126.0,*,*,*,*,*,254.0,31.329787033357817
199,59.166.0.6,149.171.126.1,*,*,*,*,*,258.0,19.017535767461215
200,59.166.0.6,149.171.126.2,*,*,*,*,*,269.22222222222223,24.838490640213035
201,59.166.0.6,149.171.126.3,*,*,*,*,*,266.27777777777777,33.31300305945872
202,59.166.0.6,149.171.126.4,*,*,*,*,*,270.3888888888889,25.484502674041135
203,59.166.0.6,149.171.126.5,*,*,*,*,*,250.44444444444446,24.251511344020106
204,59.166.0.6,149.171.126.6,*,*,*,*,*,255.05555555555554,20.64103847038231
205,59.166.0.6,149.171.126.7,*,*,*,*,*,250.16666666666666,29.333806814360493
206,59.166.0.6,149.171.126.8,*,*,*,*,*,259.77777777777777,27.97331179605851
207,59.166.0.6,149.171.126.9,*,*,*,*,*,237.72222222222223,26.35612000519794
208,59.166.0.7,149.171.126.0,*,*,*,*,*,262.8888888888889,19.36746667564188
209,59.166.0.7,149.171.126.1,*,*,*,*,*,256.8333333333333,19.664547908468286
210,59.166.0.7,149.171.126.2,*,*,*,*,*,262.3333333333333,30.1643645530432
211,59.166.0.7,149.171.126.3,*,*,*,*,*,267.05555555555554,22.209788188049536
212,59.166.0.7,149.171.126.4,*,*,*,*,*,262.55555555555554,24.88913690352619
213,59.166.0.7,149.171.126.5,*,*,*,*,*,260.77777777777777,22.814604376133857
214,59.166.0.7,149.171.126.6,*,*,*,*,*,255.94444444444446,27.18143202470356
215,59.166.0.7,149.171.126.7,*,*,*,*,*,251.83333333333334,28.703948625000475
216,59.166.0.7,149.171.126.8,*,*,*,*,*,248.83333333333334,24.71672847823244
217,59.166.0.7,149.171.126.9,*,*,*,*,*,252.66666666666666,31.65438358268883
218,59.166.0.8,149.171.126.0,*,*,*,*,*,263.94444444444446,26.9803883964759
219,59.166.0.8,149.171.126.1,*,*,*,*,*,259.72222222222223,23.541465911959488
220,59.166.0.8,149.171.126.2,*,*,*,*,*,258.8888888888889,27.01211433760146
221,59.166.0.8,149.171.126.3,*,*,*,*,*,262.6666666666667,37.89752263964259
222,59.166.0.8,149.171.126.4,*,*,*,*,*,258.77777777777777,17.63694214979064
223,59.166.0.8,149.171.126.5,*,*,*,*,*,254.88888888888889,19.081372210407164
224,59.166.0.8,149.171.126.6,*,*,*,*,*,254.0,33.15619600215521
225,59.166.0.8,149.171.126.7,*,*,*,*,*,243.83333333333334,23.41711150229915
226,59.166.0.8,149.171.126.8,*,*,*,*,*,240.27777777777777,20.07432178335618
227,59.166.0.8,149.171.126.9,*,*,*,*,*,251.38888888888889,22.98825518701256
228,59.166.0.9,149.171.126.0,*,*,*,*,*,267.1666666666667,21.80787319601188
229,59.166.0.9,149.171.126.1,*,*,*,*,*,263.8888888888889,26.038196065030846
230,59.166.0.9,149.171.126.2,*,*,*,*,*,261.94444444444446,21.52897846114039
231,59.166.0.9,149.171.126.3,*,*,*,*,*,265.55555555555554,23.471548313797143
232,59.166.0.9,149.171.126.4,*,*,*,*,*,272.22222222222223,18.79880479520959
233,59.166.0.9,149.171.126.5,*,*,*,*,*,270.1666666666667,25.228401103165897
234,59.166.0.9,149.171.126.6,*,*,*,*,*,262.94444444444446,30.698302924903448
235,59.166.0.9,149.171.126.7,*,*,*,*,*,257.3888888888889,26.010978214098774
236,59.166.0.9,149.171.126.8,*,*,*,*,*,258.6111111111111,20.505118301126913
237,59.166.0.9,149.171.126.9,*,*,*,*,*,257.44444444444446,22.465336810844647
238,10.40.170.2,*,0,*,*,*,*,19.333333333333332,2.1343747458109497
239,10.40.182.1,*,0,*,*,*,*,36.166666666666664,3.8333333333333335
240,10.40.182.3,*,0,*,*,*,*,19.666666666666668,2.1081851067789197
241,10.40.182.6,*,138,*,*,*,*,100.0,28.284271247461902
242,10.40.85.1,*,0,*,*,*,*,36.666666666666664,3.4480268109295333
243,10.40.85.10,*,0,*,*,*,*,7.444444444444445,0.8314794192830981
244,10.40.85.10,*,2048,*,*,*,*,6.722222222222222,0.558326423395605
245,10.40.85.30,*,0,*,*,*,*,19.72222222222222,1.7258027296676741
246,10.40.170.2,*,*,0,*,*,*,19.333333333333332,2.1343747458109497
247,10.40.182.1,*,*,0,*,*,*,36.166666666666664,3.8333333333333335
248,10.40.182.3,*,*,0,*,*,*,19.666666666666668,2.1081851067789197
249,10.40.182.6,*,*,138,*,*,*,100.0,28.284271247461902
250,10.40.85.1,*,*,0,*,*,*,37.333333333333336,3.6514837167011076
251,10.40.85.10,*,*,0,*,*,*,7.444444444444445,0.8314794192830981
252,10.40.85.10,*,*,52233,*,*,*,6.722222222222222,0.558326423395605
253,10.40.85.10,*,*,53,*,*,*,7.222222222222222,9.258962958222071
254,10.40.85.30,*,*,0,*,*,*,19.72222222222222,1.7258027296676741
255,175.45.176.0,*,*,179,*,*,*,79.72222222222223,134.97316834408056
256,175.45.176.1,*,*,179,*,*,*,96.61111111111111,100.57619493525453
257,175.45.176.1,*,*,520,*,*,*,42.5,77.32273634291246
258,175.45.176.1,*,*,514,*,*,*,15.833333333333334,19.678668654154425
259,175.45.176.2,*,*,514,*,*,*,11.666666666666666,16.16924378084654
260,175.45.176.2,*,*,445,*,*,*,4.277777777777778,6.162661361922168
261,175.45.176.2,*,*,179,*,*,*,89.66666666666667,141.03742608100714
262,175.45.176.3,*,*,179,*,*,*,101.77777777777777,128.11087019347107
263,175.45.176.3,*,*,80,*,*,*,74.77777777777777,169.73625146599767
264,175.45.176.3,*,*,445,*,*,*,4.833333333333333,5.708181263181237
265,59.166.0.0,*,*,111,*,*,*,119.38888888888889,13.90099472415509
266,59.166.0.0,*,*,143,*,*,*,64.44444444444444,8.700078047045979
267,59.166.0.0,*,*,21,*,*,*,61.22222222222222,9.947392486674618
268,59.166.0.0,*,*,22,*,*,*,68.05555555555556,21.749769404198346
269,59.166.0.0,*,*,25,*,*,*,111.33333333333333,14.232201360139461
270,59.166.0.0,*,*,5190,*,*,*,163.55555555555554,41.53475415202473
271,59.166.0.0,*,*,53,*,*,*,522.8888888888889,42.87305407166719
272,59.166.0.0,*,*,6881,*,*,*,192.11111111111111,130.24885961918733
273,59.166.0.0,*,*,80,*,*,*,276.8888888888889,22.188307453573852
274,59.166.0.1,*,*,111,*,*,*,115.66666666666667,12.179217270963408
275,59.166.0.1,*,*,143,*,*,*,68.11111111111111,6.99117609632861
276,59.166.0.1,*,*,21,*,*,*,62.0,9.521904571390467
277,59.166.0.1,*,*,22,*,*,*,65.44444444444444,24.59047291177401
278,59.166.0.1,*,*,25,*,*,*,117.61111111111111,14.731443652906712
279,59.166.0.1,*,*,5190,*,*,*,160.5,41.973867531543426
280,59.166.0.1,*,*,53,*,*,*,534.7222222222222,36.33303601645257
281,59.166.0.1,*,*,6881,*,*,*,194.55555555555554,121.18132521245555
282,59.166.0.1,*,*,80,*,*,*,277.8333333333333,22.50246900033663
283,59.166.0.2,*,*,111,*,*,*,112.33333333333333,12.754084313139327
284,59.166.0.2,*,*,143,*,*,*,65.66666666666667,9.556847457887635
285,59.166.0.2,*,*,21,*,*,*,66.11111111111111,9.842588237342683
286,59.166.0.2,*,*,22,*,*,*,65.11111111111111,23.985849738008472
287,59.166.0.2,*,*,25,*,*,*,118.66666666666667,15.402020069530563
288,59.166.0.2,*,*,5190,*,*,*,159.11111111111111,37.57346712906284
289,59.166.0.2,*,*,53,*,*,*,529.8888888888889,38.53409585302186
290,59.166.0.2,*,*,6881,*,*,*,187.55555555555554,128.80572029318773
291,59.166.0.2,*,*,80,*,*,*,271.94444444444446,21.232763525117974
292,59.166.0.3,*,*,111,*,*,*,117.33333333333333,11.362707032706208
293,59.166.0.3,*,*,143,*,*,*,68.44444444444444,9.793547888631247
294,59.166.0.3,*,*,21,*,*,*,59.72222222222222,8.665420138276014
295,59.166.0.3,*,*,22,*,*,*,64.55555555555556,22.229165581936172
296,59.166.0.3,*,*,25,*,*,*,116.11111111111111,14.730500817045822
297,59.166.0.3,*,*,5190,*,*,*,159.88888888888889,40.65285132666163
298,59.166.0.3,*,*,53,*,*,*,531.6111111111111,43.88512642100572
299,59.166.0.3,*,*,6881,*,*,*,195.0,116.47078794463634
300,59.166.0.3,*,*,80,*,*,*,275.0,24.039319642803722
301,59.166.0.4,*,*,111,*,*,*,119.94444444444444,15.101406197298397
302,59.166.0.4,*,*,143,*,*,*,66.44444444444444,9.21485649627348
303,59.166.0.4,*,*,21,*,*,*,66.05555555555556,8.44243397119721
304,59.166.0.4,*,*,22,*,*,*,64.16666666666667,26.060293338504252
305,59.166.0.4,*,*,25,*,*,*,114.77777777777777,15.053812937279952
306,59.166.0.4,*,*,5190,*,*,*,159.77777777777777,42.039076471983584
307,59.166.0.4,*,*,53,*,*,*,533.8888888888889,39.44600935862825
308,59.166.0.4,*,*,6881,*,*,*,195.22222222222223,121.96199569973315
309,59.166.0.4,*,*,80,*,*,*,279.77777777777777,18.74553444765966
310,59.166.0.5,*,*,111,*,*,*,120.16666666666667,9.673847907287634
311,59.166.0.5,*,*,143,*,*,*,66.77777777777777,8.521577550584004
312,59.166.0.5,*,*,21,*,*,*,56.333333333333336,8.640987597877148
313,59.166.0.5,*,*,22,*,*,*,66.83333333333333,27.449448486667674
314,59.166.0.5,*,*,25,*,*,*,110.61111111111111,16.087050999998205
315,59.166.0.5,*,*,5190,*,*,*,160.44444444444446,42.96538945893572
316,59.166.0.5,*,*,53,*,*,*,522.6111111111111,40.35418040975693
317,59.166.0.5,*,*,6881,*,*,*,216.83333333333334,170.03406521439558
318,59.166.0.5,*,*,80,*,*,*,281.6111111111111,29.42625224162354
319,59.166.0.6,*,*,111,*,*,*,113.22222222222223,14.350979662864505
320,59.166.0.6,*,*,143,*,*,*,63.77777777777778,9.646850698288105
321,59.166.0.6,*,*,21,*,*,*,59.05555555555556,9.958091194948636
322,59.166.0.6,*,*,22,*,*,*,63.111111111111114,24.045995020859706
323,59.166.0.6,*,*,25,*,*,*,103.72222222222223,10.196979702918329
324,59.166.0.6,*,*,5190,*,*,*,150.11111111111111,41.16887833315205
325,59.166.0.6,*,*,53,*,*,*,500.94444444444446,34.39552978420019
326,59.166.0.6,*,*,6881,*,*,*,188.22222222222223,139.98910892381573
327,59.166.0.6,*,*,80,*,*,*,265.27777777777777,23.01401880872602
328,59.166.0.7,*,*,111,*,*,*,113.55555555555556,14.119420125888952
329,59.166.0.7,*,*,143,*,*,*,62.111111111111114,8.54978160142695
330,59.166.0.7,*,*,21,*,*,*,59.22222222222222,9.052658023141635
331,59.166.0.7,*,*,22,*,*,*,60.27777777777778,25.61207518069804
332,59.166.0.7,*,*,25,*,*,*,106.11111111111111,10.48220125784067
333,59.166.0.7,*,*,5190,*,*,*,151.44444444444446,34.818931986655734
334,59.166.0.7,*,*,53,*,*,*,499.94444444444446,29.630075228130817
335,59.166.0.7,*,*,6881,*,*,*,184.66666666666666,125.17765153750267
336,59.166.0.7,*,*,80,*,*,*,266.5,20.290254913244546
337,59.166.0.8,*,*,111,*,*,*,112.83333333333333,15.976545308670458
338,59.166.0.8,*,*,143,*,*,*,65.27777777777777,6.296432460401291
339,59.166.0.8,*,*,21,*,*,*,56.77777777777778,7.799968344348553
340,59.166.0.8,*,*,22,*,*,*,61.94444444444444,25.419747839955328
341,59.166.0.8,*,*,25,*,*,*,107.55555555555556,9.081251885201132
342,59.166.0.8,*,*,5190,*,*,*,157.94444444444446,34.56792383156228
343,59.166.0.8,*,*,53,*,*,*,498.6666666666667,31.02328874320781
344,59.166.0.8,*,*,6881,*,*,*,158.05555555555554,112.71521253052966
345,59.166.0.8,*,*,80,*,*,*,262.22222222222223,22.036725799233817
346,59.166.0.9,*,*,111,*,*,*,115.0,12.373807462180391
347,59.166.0.9,*,*,143,*,*,*,65.55555555555556,9.382147481148689
348,59.166.0.9,*,*,21,*,*,*,62.72222222222222,8.697416957257774
349,59.166.0.9,*,*,22,*,*,*,61.333333333333336,23.24029068473781
350,59.166.0.9,*,*,25,*,*,*,113.44444444444444,17.253734610938334
351,59.166.0.9,*,*,5190,*,*,*,158.11111111111111,38.043672110540555
352,59.166.0.9,*,*,53,*,*,*,515.4444444444445,34.69905894052496
353,59.166.0.9,*,*,6881,*,*,*,182.83333333333334,108.18566859288197
354,59.166.0.9,*,*,80,*,*,*,266.72222222222223,24.055042334787004
